Apellidos,Nombre,Nombre de usuario,Presentado,Construir el arbol y el espacio probabilistico,Identificar la unión,Identificar la diferencia entres dos sucesos,Identificar un suceso condicionado,Identificar la interseción de dos sucesos contrarios,Calcular la probabilidad de la interseción,Calcular la probabilidad de la diferencia entre dos sucesos,Calcular la probabilidad del suceso contrario,Aplicar las leyes de Morgan,Calculo de la probabilidad condicionada,Identificación de sucesos independientes,Calcular la probabilidad total,Calcular el valor predictivo positivo,Calcular el valor predictivo negativo,Interpetación de los valores predictivos,Calcular la probabilidad de diagnóstico erroneo,"Idebtificar la probabilidad de que la VAD esté por abajo, por encima o entre ciertos valores",Identificar el modelo de distribución de probabilidad Binomial,Identificar que mide la variable aleatoria discreta,Identificar los parametros de una distribución Binomial,Calcular la función de probabilidad Binomial,Identificar el modelo de distribución de probabilidad de Poisson,Identificar la lambda del modelo de Poisson,Calcular la función de probabilidad de Poisson,Calcular la media a partir de una distribución Poisson,Identificar que mide la variable aleatoria continua,Identificar una distribución Normal,Identificar el area de a considerar en una dostribución Normal,Calculo de las probabilidades con la Normal estándar entre dos valores,Transformación de tipificación,Determinar la función de distribución utlizando la tabla de la Normal,Determinar el valor de la variable aleatoria utilizando la tabla de la función de distribución,Calcular el numero de personas que están dentro de un determinado rango de valores de la VAC,Comentarios
PESO,,,,2,1,3,3,3,1,1,1,1,2,3,3,3,3,3,2,2,3,1,2,2,3,3,2,1,1,3,2,3,3,2,2,1,
Apellidos1,Alumno1,Alumno1@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos2,Alumno2,Alumno2@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos3,Alumno3,Alumno3@uspceu.es,S,,,,,,,,,,,,,,,,,,,,,,1,0.5,1,0,0.5,,,,,,,,
Apellidos4,Alumno4,Alumno4@uspceu.es,S,,0,1,0.5,0,1,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos5,Alumno5,Alumno5@uspceu.es,S,1,1,,0.5,,,,,,0.5,,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,,1,1,1,1,1,1,1,1,
Apellidos6,Alumno6,Alumno6@uspceu.es,S,,1,,1,,1,,1,,0.5,,0,,1,,,0.5,1,0.5,1,0.5,1,0,0,,,,,,,,,,
Apellidos7,Alumno7,Alumno7@uspceu.es,S,1,1,,,1,1,0,1,1,,1,,,,,,0.25,,0.25,,,0.5,0.5,0.5,,1,1,,1,1,0.5,,0.5,
Apellidos8,Alumno8,Alumno8@uspceu.es,S,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Apellidos9,Alumno9,Alumno9@uspceu.es,S,0,,,,,,,,,,,1,1,0.5,1,,0.5,0.5,0.5,0.5,0.5,1,0.5,0,,,,,,,,,,
Apellidos10,Alumno10,Alumno10@uspceu.es,S,0,1,,1,,1,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,0.5,,1,
Apellidos11,Alumno11,Alumno11@uspceu.es,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,,
Apellidos12,Alumno12,Alumno12@uspceu.es,S,,1,1,1,,0.5,,,,0.5,,,,,1,,0.25,,0.25,,,0.5,0.5,0.5,,1,1,0,1,1,1,,1,
Apellidos13,Alumno13,Alumno13@uspceu.es,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0.5,0.5,0.5,1,0.5,1,0,1,1,0,1,1,1,0,1,
Apellidos14,Alumno14,Alumno14@uspceu.es,S,,1,,1,1,,,,,,,1,1,1,1,,0.75,0.5,0.5,0.5,,,,,,1,1,0.5,1,1,1,,1,
Apellidos15,Alumno15,Alumno15@uspceu.es,S,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
Apellidos16,Alumno16,Alumno16@uspceu.es,S,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,1,0.5,0.75,0.5,1,1,1,1,,1,1,1,1,1,1,1,1,
Apellidos17,Alumno17,Alumno17@uspceu.es,S,,,1,0.5,,,,,,,0.5,,,,0.5,,0,0.25,0.5,0.25,0.5,0.5,0.5,,0.5,1,1,,,1,0.5,,0.5,
Apellidos18,Alumno18,Alumno18@uspceu.es,S,,,,,,,,,,,,,,,,,0.25,,,,,1,,,,1,1,,,1,0.5,,0.5,
Apellidos19,Alumno19,Alumno19@uspceu.es,S,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.25,,1,1,,,0.5,0.5,,,
Apellidos20,Alumno20,Alumno20@uspceu.es,S,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos21,Alumno21,Alumno21@uspceu.es,S,,1,,0.5,1,0.5,,0.5,0.5,,1,1,1,0.5,0.5,,1,0.5,0.75,0.5,0.5,1,1,1,,1,1,1,1,1,1,1,1,
Apellidos22,Alumno22,Alumno22@uspceu.es,S,,,,1,1,,,,,,,1,0.5,,,0.5,0.25,,,,,1,0.5,0.5,,0.5,1,,0.5,0.5,0.5,,0.5,
Apellidos23,Alumno23,Alumno23@uspceu.es,S,,,,,,,,,,,,1,1,1,,,0.75,0.5,1,1,0.5,1,1,1,,1,1,,1,1,1,,,
Apellidos24,Alumno24,Alumno24@uspceu.es,S,,,,,1,,,,,,,,,,,,0.5,,,,,1,0.5,0.5,,0.5,1,,0.5,1,0.5,,0.5,
Apellidos25,Alumno25,Alumno25@uspceu.es,S,,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos26,Alumno26,Alumno26@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos27,Alumno27,Alumno27@uspceu.es,S,,1,1,1,,1,0.5,1,,1,,1,1,1,1,1,1,1,0.75,1,1,1,0.5,1,,1,1,1,1,1,1,1,1,
Apellidos28,Alumno28,Alumno28@uspceu.es,S,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0.5,0.75,1,1,1,0.75,1,,1,1,1,1,1,1,1,1,
Apellidos29,Alumno29,Alumno29@uspceu.es,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
Apellidos30,Alumno30,Alumno30@uspceu.es,S,1,1,,1,1,1,,1,,1,,1,1,1,,,0.75,0.5,0.75,0.5,0.5,1,1,1,,1,1,,1,1,1,,1,
Apellidos31,Alumno31,Alumno31@uspceu.es,S,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos32,Alumno32,Alumno32@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos33,Alumno33,Alumno33@uspceu.es,S,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1,,,,,,,,,,
Apellidos34,Alumno34,Alumno34@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos35,Alumno35,Alumno35@uspceu.es,S,,,1,1,1,,,,,,,0.5,,,1,0.5,0.75,0.5,0.75,0.5,0.5,1,1,1,,1,1,1,1,1,1,,1,
Apellidos36,Alumno36,Alumno36@uspceu.es,S,,1,,1,,1,,,,1,1,,0.5,,0.5,0.5,1,0.5,0.5,0.5,,1,1,1,,1,0.5,1,0.5,1,1,1,1,
Apellidos37,Alumno37,Alumno37@uspceu.es,S,,,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,,1,1,1,1,1,1,1,1,
Apellidos38,Alumno38,Alumno38@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos39,Alumno39,Alumno39@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos40,Alumno40,Alumno40@uspceu.es,S,,1,,1,1,1,,,,1,1,1,1,1,1,,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,,1,1,,0.5,1,1,,0.5,
Apellidos41,Alumno41,Alumno41@uspceu.es,S,,1,,1,1,1,,,,1,,1,1,1,1,,,0.5,0.25,0.5,0.5,0,,,,1,1,,,1,1,,0.5,
Apellidos42,Alumno42,Alumno42@uspceu.es,S,,,,1,,,,,,,,,,,,,1,0.5,0.75,0.5,1,1,1,1,,1,1,1,1,1,1,1,1,
Apellidos43,Alumno43,Alumno43@uspceu.es,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apellidos44,Alumno44,Alumno44@uspceu.es,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
